Id,type,size,[z],Label
15_attn.q,modules,2,1,15_attn.q
15_attn.k,modules,2,1,15_attn.k
15_attn.v,modules,2,1,15_attn.v
15_attn.o,modules,2,1,15_attn.o
15_gate,modules,2,1,15_gate
15_mlp.up,modules,2,1,15_mlp.up
15_mlp.down,modules,2,1,15_mlp.down
16_attn.q,modules,2,1,16_attn.q
16_attn.k,modules,2,1,16_attn.k
16_attn.v,modules,2,1,16_attn.v
16_attn.o,modules,2,1,16_attn.o
16_gate,modules,2,1,16_gate
16_mlp.up,modules,2,1,16_mlp.up
16_mlp.down,modules,2,1,16_mlp.down
17_attn.q,modules,2,1,17_attn.q
17_attn.k,modules,2,1,17_attn.k
17_attn.v,modules,2,1,17_attn.v
17_attn.o,modules,2,1,17_attn.o
17_gate,modules,2,1,17_gate
17_mlp.up,modules,2,1,17_mlp.up
17_mlp.down,modules,2,1,17_mlp.down
18_attn.q,modules,2,1,18_attn.q
18_attn.k,modules,2,1,18_attn.k
18_attn.v,modules,2,1,18_attn.v
18_attn.o,modules,2,1,18_attn.o
18_gate,modules,2,1,18_gate
18_mlp.up,modules,2,1,18_mlp.up
18_mlp.down,modules,2,1,18_mlp.down
19_attn.q,modules,2,1,19_attn.q
19_attn.k,modules,2,1,19_attn.k
19_attn.v,modules,2,1,19_attn.v
19_attn.o,modules,2,1,19_attn.o
19_gate,modules,2,1,19_gate
19_mlp.up,modules,2,1,19_mlp.up
19_mlp.down,modules,2,1,19_mlp.down
20_attn.q,modules,2,1,20_attn.q
20_attn.k,modules,2,1,20_attn.k
20_attn.v,modules,2,1,20_attn.v
20_attn.o,modules,2,1,20_attn.o
20_gate,modules,2,1,20_gate
20_mlp.up,modules,2,1,20_mlp.up
20_mlp.down,modules,2,1,20_mlp.down
21_attn.q,modules,2,1,21_attn.q
21_attn.k,modules,2,1,21_attn.k
21_attn.v,modules,2,1,21_attn.v
21_attn.o,modules,2,1,21_attn.o
21_gate,modules,2,1,21_gate
21_mlp.up,modules,2,1,21_mlp.up
21_mlp.down,modules,2,1,21_mlp.down
22_attn.q,modules,2,1,22_attn.q
22_attn.k,modules,2,1,22_attn.k
22_attn.v,modules,2,1,22_attn.v
22_attn.o,modules,2,1,22_attn.o
22_gate,modules,2,1,22_gate
22_mlp.up,modules,2,1,22_mlp.up
22_mlp.down,modules,2,1,22_mlp.down
23_attn.q,modules,2,1,23_attn.q
23_attn.k,modules,2,1,23_attn.k
23_attn.v,modules,2,1,23_attn.v
23_attn.o,modules,2,1,23_attn.o
23_gate,modules,2,1,23_gate
23_mlp.up,modules,2,1,23_mlp.up
23_mlp.down,modules,2,1,23_mlp.down
24_attn.q,modules,2,1,24_attn.q
24_attn.k,modules,2,1,24_attn.k
24_attn.v,modules,2,1,24_attn.v
24_attn.o,modules,2,1,24_attn.o
24_gate,modules,2,1,24_gate
24_mlp.up,modules,2,1,24_mlp.up
24_mlp.down,modules,2,1,24_mlp.down
25_attn.q,modules,2,1,25_attn.q
25_attn.k,modules,2,1,25_attn.k
25_attn.v,modules,2,1,25_attn.v
25_attn.o,modules,2,1,25_attn.o
25_gate,modules,2,1,25_gate
25_mlp.up,modules,2,1,25_mlp.up
25_mlp.down,modules,2,1,25_mlp.down
26_attn.q,modules,2,1,26_attn.q
26_attn.k,modules,2,1,26_attn.k
26_attn.v,modules,2,1,26_attn.v
26_attn.o,modules,2,1,26_attn.o
26_gate,modules,2,1,26_gate
26_mlp.up,modules,2,1,26_mlp.up
26_mlp.down,modules,2,1,26_mlp.down
27_attn.q,modules,2,1,27_attn.q
27_attn.k,modules,2,1,27_attn.k
27_attn.v,modules,2,1,27_attn.v
27_attn.o,modules,2,1,27_attn.o
27_gate,modules,2,1,27_gate
27_mlp.up,modules,2,1,27_mlp.up
27_mlp.down,modules,2,1,27_mlp.down
28_attn.q,modules,2,1,28_attn.q
28_attn.k,modules,2,1,28_attn.k
28_attn.v,modules,2,1,28_attn.v
28_attn.o,modules,2,1,28_attn.o
28_gate,modules,2,1,28_gate
28_mlp.up,modules,2,1,28_mlp.up
28_mlp.down,modules,2,1,28_mlp.down
29_attn.q,modules,2,1,29_attn.q
29_attn.k,modules,2,1,29_attn.k
29_attn.v,modules,2,1,29_attn.v
29_attn.o,modules,2,1,29_attn.o
29_gate,modules,2,1,29_gate
29_mlp.up,modules,2,1,29_mlp.up
29_mlp.down,modules,2,1,29_mlp.down
30_attn.q,modules,2,1,30_attn.q
30_attn.k,modules,2,1,30_attn.k
30_attn.v,modules,2,1,30_attn.v
30_attn.o,modules,2,1,30_attn.o
30_gate,modules,2,1,30_gate
30_mlp.up,modules,2,1,30_mlp.up
30_mlp.down,modules,2,1,30_mlp.down
abstract_thinking,skill,3,3,abstract_thinking
adaptability,skill,3,3,adaptability
attention_shifting,skill,3,3,attention_shifting
auditory_processing_speed,skill,3,3,auditory_processing_speed
cognitive_flexibility,skill,3,3,cognitive_flexibility
comprehension,skill,3,3,comprehension
conflict_resolution,skill,3,3,conflict_resolution
creativity,skill,3,3,creativity
decision_making,skill,3,3,decision_making
discourse_ability,skill,3,3,discourse_ability
divided_attention,skill,3,3,divided_attention
echoic_memory,skill,3,3,echoic_memory
emotional_regulation,skill,3,3,emotional_regulation
empathy,skill,3,3,empathy
episodic_memory,skill,3,3,episodic_memory
expressive_language,skill,3,3,expressive_language
fluency,skill,3,3,fluency
goal_setting,skill,3,3,goal_setting
iconic_memory,skill,3,3,iconic_memory
impulse_control,skill,3,3,impulse_control
intercultural_competence,skill,3,3,intercultural_competence
linguistic_analysis,skill,3,3,linguistic_analysis
mental_flexibility,skill,3,3,mental_flexibility
naming,skill,3,3,naming
narrative_skills,skill,3,3,narrative_skills
organization,skill,3,3,organization
planning,skill,3,3,planning
pragmatics,skill,3,3,pragmatics
problem_solving,skill,3,3,problem_solving
procedural_memory,skill,3,3,procedural_memory
processing_speed,skill,3,3,processing_speed
prospective_memory,skill,3,3,prospective_memory
reading,skill,3,3,reading
reasoning,skill,3,3,reasoning
receptive_language,skill,3,3,receptive_language
recognition_of_social_cues,skill,3,3,recognition_of_social_cues
relationship_management,skill,3,3,relationship_management
repetition,skill,3,3,repetition
risk_assessment,skill,3,3,risk_assessment
selective_attention,skill,3,3,selective_attention
self_awareness,skill,3,3,self_awareness
semantic_memory,skill,3,3,semantic_memory
social_judgment,skill,3,3,social_judgment
spatial_memory,skill,3,3,spatial_memory
strategic_thinking,skill,3,3,strategic_thinking
sustained_attention,skill,3,3,sustained_attention
theory_of_mind,skill,3,3,theory_of_mind
time_management,skill,3,3,time_management
vigilance_attention,skill,3,3,vigilance_attention
visual_processing_speed,skill,3,3,visual_processing_speed
working_memory,skill,3,3,working_memory
writing,skill,3,3,writing
