Source,Target,Edge_Type
selective_attention,13_attn.v,1
selective_attention,19_attn.q,1
selective_attention,21_attn.k,1
selective_attention,22_attn.v,1
selective_attention,27_attn.q,1
selective_attention,29_attn.q,1
selective_attention,30_attn.q,1
selective_attention,30_attn.k,1
self_awareness,6_attn.k,1
self_awareness,7_attn.v,1
self_awareness,8_attn.v,1
self_awareness,14_attn.v,1
self_awareness,15_attn.k,1
self_awareness,16_attn.v,1
self_awareness,17_attn.q,1
self_awareness,21_attn.o,1
self_awareness,24_attn.v,1
self_awareness,25_attn.o,1
semantic_memory,6_attn.v,1
semantic_memory,6_attn.o,1
semantic_memory,10_attn.k,1
semantic_memory,10_attn.v,1
semantic_memory,11_attn.q,1
semantic_memory,16_attn.k,1
semantic_memory,22_attn.v,1
semantic_memory,22_attn.o,1
semantic_memory,25_attn.q,1
semantic_memory,25_attn.v,1
semantic_memory,26_attn.k,1
semantic_memory,26_attn.o,1
semantic_memory,30_attn.v,1
social_judgment,4_attn.k,1
social_judgment,5_attn.k,1
social_judgment,7_attn.v,1
social_judgment,10_attn.k,1
social_judgment,18_attn.k,1
social_judgment,19_attn.q,1
social_judgment,22_attn.q,1
social_judgment,25_attn.v,1
social_judgment,26_attn.v,1
spatial_memory,3_attn.v,1
spatial_memory,6_attn.o,1
spatial_memory,12_attn.v,1
spatial_memory,12_attn.o,1
spatial_memory,17_attn.v,1
spatial_memory,18_attn.v,1
spatial_memory,20_attn.k,1
spatial_memory,21_attn.v,1
spatial_memory,23_attn.o,1
spatial_memory,28_attn.q,1
strategic_thinking,6_attn.q,1
strategic_thinking,9_attn.o,1
strategic_thinking,10_attn.k,1
strategic_thinking,14_attn.o,1
strategic_thinking,15_attn.k,1
strategic_thinking,15_attn.o,1
strategic_thinking,19_attn.k,1
strategic_thinking,21_attn.k,1
strategic_thinking,21_attn.v,1
strategic_thinking,26_attn.k,1
strategic_thinking,30_attn.k,1
sustained_attention,7_attn.v,1
sustained_attention,15_attn.q,1
sustained_attention,16_attn.q,1
sustained_attention,21_attn.q,1
sustained_attention,24_attn.o,1
sustained_attention,28_attn.q,1
sustained_attention,28_attn.k,1
theory_of_mind,3_attn.q,1
theory_of_mind,6_attn.v,1
theory_of_mind,8_attn.q,1
theory_of_mind,10_attn.o,1
theory_of_mind,11_attn.v,1
theory_of_mind,13_attn.q,1
theory_of_mind,25_attn.o,1
theory_of_mind,29_attn.q,1
theory_of_mind,29_attn.v,1
time_management,4_attn.k,1
time_management,10_attn.v,1
time_management,19_attn.v,1
time_management,22_attn.q,1
time_management,30_attn.q,1
vigilance_attention,16_attn.q,1
vigilance_attention,18_attn.q,1
vigilance_attention,19_attn.k,1
vigilance_attention,30_attn.o,1
visual_processing_speed,7_attn.o,1
visual_processing_speed,9_attn.v,1
visual_processing_speed,14_attn.k,1
visual_processing_speed,15_attn.v,1
visual_processing_speed,17_attn.k,1
visual_processing_speed,19_attn.q,1
visual_processing_speed,24_attn.k,1
visual_processing_speed,26_attn.o,1
visual_processing_speed,27_attn.v,1
visual_processing_speed,28_attn.o,1
visual_processing_speed,29_attn.q,1
working_memory,3_attn.q,1
working_memory,5_attn.k,1
working_memory,6_attn.o,1
working_memory,7_attn.q,1
working_memory,8_attn.o,1
working_memory,11_attn.v,1
working_memory,13_attn.o,1
working_memory,16_attn.q,1
working_memory,17_attn.o,1
working_memory,23_attn.v,1
working_memory,25_attn.q,1
working_memory,25_attn.v,1
working_memory,26_attn.k,1
working_memory,26_attn.v,1
working_memory,27_attn.o,1
working_memory,30_attn.q,1
working_memory,30_attn.o,1
writing,7_attn.q,1
writing,9_attn.k,1
writing,10_attn.v,1
writing,25_attn.o,1
writing,26_attn.k,1
