Id,type,size,[z],Label
which_wiki_edit,dataset,3,2,
abstract_narrative_understanding,dataset,3,2,
anachronisms,dataset,3,2,
analogical_similarity,dataset,3,2,
analytic_entailment,dataset,3,2,
arithmetic,dataset,3,2,
authorship_verification,dataset,3,2,
bbq_lite_json,dataset,3,2,
causal_judgment,dataset,3,2,
cause_and_effect,dataset,3,2,
checkmate_in_one,dataset,3,2,
cifar10_classification,dataset,3,2,
code_line_description,dataset,3,2,
color,dataset,3,2,
common_morpheme,dataset,3,2,
conceptual_combinations,dataset,3,2,
crash_blossom,dataset,3,2,
crass_ai,dataset,3,2,
cryobiology_spanish,dataset,3,2,
cs_algorithms,dataset,3,2,
dark_humor_detection,dataset,3,2,
date_understanding,dataset,3,2,
disambiguation_qa,dataset,3,2,
discourse_marker_prediction,dataset,3,2,
dyck_languages,dataset,3,2,
elementary_math_qa,dataset,3,2,
emoji_movie,dataset,3,2,
empirical_judgments,dataset,3,2,
english_proverbs,dataset,3,2,
english_russian_proverbs,dataset,3,2,
entailed_polarity,dataset,3,2,
entailed_polarity_hindi,dataset,3,2,
epistemic_reasoning,dataset,3,2,
evaluating_information_essentiality,dataset,3,2,
fact_checker,dataset,3,2,
fantasy_reasoning,dataset,3,2,
figure_of_speech_detection,dataset,3,2,
formal_fallacies_syllogisms_negation,dataset,3,2,
general_knowledge,dataset,3,2,
geometric_shapes,dataset,3,2,
goal_step_wikihow,dataset,3,2,
gre_reading_comprehension,dataset,3,2,
hhh_alignment,dataset,3,2,
hindu_knowledge,dataset,3,2,
hinglish_toxicity,dataset,3,2,
human_organs_senses,dataset,3,2,
hyperbaton,dataset,3,2,
identify_math_theorems,dataset,3,2,
identify_odd_metaphor,dataset,3,2,
implicatures,dataset,3,2,
implicit_relations,dataset,3,2,
indic_cause_and_effect,dataset,3,2,
intent_recognition,dataset,3,2,
international_phonetic_alphabet_nli,dataset,3,2,
intersect_geometry,dataset,3,2,
irony_identification,dataset,3,2,
kannada,dataset,3,2,
key_value_maps,dataset,3,2,
known_unknowns,dataset,3,2,
language_identification,dataset,3,2,
logic_grid_puzzle,dataset,3,2,
logical_args,dataset,3,2,
logical_deduction,dataset,3,2,
logical_fallacy_detection,dataset,3,2,
logical_sequence,dataset,3,2,
mathematical_induction,dataset,3,2,
medical_questions_russian,dataset,3,2,
metaphor_boolean,dataset,3,2,
metaphor_understanding,dataset,3,2,
misconceptions,dataset,3,2,
mnist_ascii,dataset,3,2,
moral_permissibility,dataset,3,2,
movie_dialog_same_or_different,dataset,3,2,
movie_recommendation,dataset,3,2,
navigate,dataset,3,2,
nonsense_words_grammar,dataset,3,2,
novel_concepts,dataset,3,2,
odd_one_out,dataset,3,2,
parsinlu_qa,dataset,3,2,
penguins_in_a_table,dataset,3,2,
persian_idioms,dataset,3,2,
phrase_relatedness,dataset,3,2,
physical_intuition,dataset,3,2,
physics,dataset,3,2,
play_dialog_same_or_different,dataset,3,2,
presuppositions_as_nli,dataset,3,2,
question_selection,dataset,3,2,
reasoning_about_colored_objects,dataset,3,2,
riddle_sense,dataset,3,2,
ruin_names,dataset,3,2,
salient_translation_error_detection,dataset,3,2,
sentence_ambiguity,dataset,3,2,
similarities_abstraction,dataset,3,2,
simple_ethical_questions,dataset,3,2,
snarks,dataset,3,2,
social_iqa,dataset,3,2,
social_support,dataset,3,2,
sports_understanding,dataset,3,2,
strange_stories,dataset,3,2,
strategyqa,dataset,3,2,
suicide_risk,dataset,3,2,
swahili_english_proverbs,dataset,3,2,
swedish_to_german_proverbs,dataset,3,2,
symbol_interpretation,dataset,3,2,
temporal_sequences,dataset,3,2,
timedial,dataset,3,2,
tracking_shuffled_objects,dataset,3,2,
understanding_fables,dataset,3,2,
undo_permutation,dataset,3,2,
unit_interpretation,dataset,3,2,
vitaminc_fact_verification,dataset,3,2,
what_is_the_tao,dataset,3,2,
which_wiki_edit,dataset,3,2,
winowhy,dataset,3,2,
abstract_algebra,dataset,3,2,
anatomy,dataset,3,2,
astronomy,dataset,3,2,
business_ethics,dataset,3,2,
clinical_knowledge,dataset,3,2,
college_biology,dataset,3,2,
college_chemistry,dataset,3,2,
college_computer_science,dataset,3,2,
college_mathematics,dataset,3,2,
college_medicine,dataset,3,2,
college_physics,dataset,3,2,
computer_security,dataset,3,2,
conceptual_physics,dataset,3,2,
econometrics,dataset,3,2,
electrical_engineering,dataset,3,2,
elementary_mathematics,dataset,3,2,
formal_logic,dataset,3,2,
global_facts,dataset,3,2,
high_school_biology,dataset,3,2,
high_school_chemistry,dataset,3,2,
high_school_computer_science,dataset,3,2,
high_school_european_history,dataset,3,2,
high_school_geography,dataset,3,2,
high_school_government_and_politics,dataset,3,2,
high_school_macroeconomics,dataset,3,2,
high_school_mathematics,dataset,3,2,
high_school_microeconomics,dataset,3,2,
high_school_physics,dataset,3,2,
high_school_psychology,dataset,3,2,
high_school_statistics,dataset,3,2,
high_school_us_history,dataset,3,2,
high_school_world_history,dataset,3,2,
human_aging,dataset,3,2,
human_sexuality,dataset,3,2,
international_law,dataset,3,2,
jurisprudence,dataset,3,2,
logical_fallacies,dataset,3,2,
machine_learning,dataset,3,2,
management,dataset,3,2,
marketing,dataset,3,2,
medical_genetics,dataset,3,2,
miscellaneous,dataset,3,2,
moral_disputes,dataset,3,2,
moral_scenarios,dataset,3,2,
nutrition,dataset,3,2,
philosophy,dataset,3,2,
prehistory,dataset,3,2,
professional_accounting,dataset,3,2,
professional_law,dataset,3,2,
professional_medicine,dataset,3,2,
professional_psychology,dataset,3,2,
public_relations,dataset,3,2,
security_studies,dataset,3,2,
sociology,dataset,3,2,
us_foreign_policy,dataset,3,2,
virology,dataset,3,2,
world_religions,dataset,3,2,
math_qa,dataset,3,2,
EleutherAI/truthful_qa_mc,dataset,3,2,
derek-thomas/ScienceQA,dataset,3,2,
commonsense_qa,dataset,3,2,
abstract_thinking,skill,4,3,abstract_thinking
adaptability,skill,4,3,adaptability
attention_shifting,skill,4,3,attention_shifting
auditory_processing_speed,skill,4,3,auditory_processing_speed
cognitive_flexibility,skill,4,3,cognitive_flexibility
comprehension,skill,4,3,comprehension
conflict_resolution,skill,4,3,conflict_resolution
creativity,skill,4,3,creativity
decision_making,skill,4,3,decision_making
discourse_ability,skill,4,3,discourse_ability
divided_attention,skill,4,3,divided_attention
echoic_memory,skill,4,3,echoic_memory
emotional_regulation,skill,4,3,emotional_regulation
empathy,skill,4,3,empathy
episodic_memory,skill,4,3,episodic_memory
expressive_language,skill,4,3,expressive_language
fluency,skill,4,3,fluency
goal_setting,skill,4,3,goal_setting
iconic_memory,skill,4,3,iconic_memory
impulse_control,skill,4,3,impulse_control
intercultural_competence,skill,4,3,intercultural_competence
linguistic_analysis,skill,4,3,linguistic_analysis
mental_flexibility,skill,4,3,mental_flexibility
naming,skill,4,3,naming
narrative_skills,skill,4,3,narrative_skills
organization,skill,4,3,organization
planning,skill,4,3,planning
pragmatics,skill,4,3,pragmatics
problem_solving,skill,4,3,problem_solving
procedural_memory,skill,4,3,procedural_memory
processing_speed,skill,4,3,processing_speed
prospective_memory,skill,4,3,prospective_memory
reading,skill,4,3,reading
reasoning,skill,4,3,reasoning
receptive_language,skill,4,3,receptive_language
recognition_of_social_cues,skill,4,3,recognition_of_social_cues
relationship_management,skill,4,3,relationship_management
repetition,skill,4,3,repetition
risk_assessment,skill,4,3,risk_assessment
selective_attention,skill,4,3,selective_attention
self_awareness,skill,4,3,self_awareness
semantic_memory,skill,4,3,semantic_memory
social_judgment,skill,4,3,social_judgment
spatial_memory,skill,4,3,spatial_memory
strategic_thinking,skill,4,3,strategic_thinking
sustained_attention,skill,4,3,sustained_attention
theory_of_mind,skill,4,3,theory_of_mind
time_management,skill,4,3,time_management
vigilance_attention,skill,4,3,vigilance_attention
visual_processing_speed,skill,4,3,visual_processing_speed
working_memory,skill,4,3,working_memory
writing,skill,4,3,writing
